0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:21:46 +0530] "POST /SpringMVCDemo/add HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:21:46 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:22:51 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:22:51 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:22:52 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:22:52 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:22:53 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:22:53 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:23:40 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:23:40 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:23:40 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:23:40 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:23:51 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:23:51 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:24:49 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:24:49 +0530] "GET /SpringMVCDemo/css/main.css HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [29/Apr/2021:13:28:44 +0530] "GET /SpringMVCDemo/ HTTP/1.1" 200 486
